description,amount,category,need
Dominos Pizza,450,Food,miscellaneous
Milk and Bread,80,Groceries,necessity
Uber to office,180,Transport,necessity
Netflix subscription,499,Subscription,miscellaneous
House Rent,15000,Rent,necessity
Electricity Bill,1200,Bills,necessity
Movie tickets,600,Entertainment,miscellaneous
Gym membership,1000,Personal Care,necessity
Pharmacy,450,Healthcare,necessity
Coffee,150,Food,miscellaneous
Lunch at work,200,Food,necessity
Groceries from Dmart,1500,Groceries,necessity
Amazon Shopping,2000,Shopping,miscellaneous
Spotify,119,Subscription,miscellaneous
Internet Bill,800,Utilities,necessity
Haircut,300,Personal Care,necessity
Bus pass,500,Transport,necessity
College tuition,50000,Education,necessity
Books,1200,Education,necessity
Zomato order,500,Food,miscellaneous
Water bill,300,Utilities,necessity
Doctor consultation,800,Healthcare,necessity
Swiggy dinner,650,Food,miscellaneous
Shoes,2500,Shopping,miscellaneous
Flight ticket,4500,Transport,necessity
Hotel booking,3000,Entertainment,miscellaneous
Mobile recharge,299,Bills,necessity
Car fuel,2000,Transport,necessity
Vegetables,350,Groceries,necessity
Fruits,250,Groceries,necessity
Ice cream,100,Food,miscellaneous
Concert ticket,1500,Entertainment,miscellaneous
Myntra clothes,3500,Shopping,miscellaneous
Makeup,1200,Personal Care,miscellaneous
Medicine,600,Healthcare,necessity
Dentist,1500,Healthcare,necessity
Online course,1000,Education,necessity
Laptop repair,2500,Other,necessity
Gift for friend,1000,Other,miscellaneous
Stationery,150,Education,necessity
Gas cylinder,900,Bills,necessity
Train ticket,1200,Transport,necessity
Bike service,800,Transport,necessity
House cleaning,500,Rent,necessity
Toll tax,100,Transport,necessity
Parking fee,50,Transport,miscellaneous
Newspaper bill,200,Bills,necessity
